,City,Country,Max Temp,Lat,Lng,Hotel Name
7,Ponta do Sol,PT,70.0,32.67,-17.1,Hotel do Campo
10,Kathmandu,NP,69.8,27.72,85.32,Hotel Shanker Kathmandu
13,Jamestown,US,73.99,42.1,-79.24,Hampton Inn & Suites Jamestown
14,São Mateus,BR,69.67,-18.72,-39.86,Hotel Rio Norte
15,Sturgeon Falls,CA,68.0,46.36,-79.93,Lincoln Motel
19,São Filipe,CV,74.57,14.9,-24.5,Tortuga B&B
21,Marawi,PH,73.0,8.0,124.29,Derogongan Residence
27,Saint-Philippe,RE,66.2,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
33,Ouadda,CF,69.31,8.08,22.4,
39,Palora,EC,74.5,-1.7,-77.93,Rancho grande
56,Souillac,MU,71.6,-20.52,57.52,Bils' Villa
67,Praia da Vitória,PT,73.4,38.73,-27.07,Hotel Branco I
70,Kazanskaya,RU,71.49,45.41,40.44,Kazach'ya
72,Ribeira Grande,PT,71.6,38.52,-28.7,Quinta da Meia Eira
77,Bindi,SL,71.24,9.92,-11.45,
82,Khulo,GE,73.4,41.64,42.31,Hostel 13
93,Khanbari,NP,73.45,27.37,87.2,नेवारी फाष्टफुड एण्ड लज
94,Sault Ste. Marie,CA,66.2,46.52,-84.33,Comfort Inn
97,Yenagoa,NG,74.41,4.92,6.26,Amba Hotels Limited
98,Mahébourg,MU,71.6,-20.41,57.7,Shandrani Beachcomber Resort & Spa
101,Bria,CF,69.94,6.54,21.99,
107,Luanda,AO,69.8,-8.84,13.23,EPIC SANA Luanda
109,Bengaluru,IN,73.4,12.98,77.6,The Chancery Hotel
124,Luebo,CD,70.45,-5.35,21.42,
125,Beloha,MG,66.58,-25.17,45.05,
131,Kontagora,NG,72.16,10.4,5.47,City Gate Inn
132,Raja,SS,70.32,8.46,25.68,
133,Apastovo,RU,66.2,55.2,48.51,Avtovokzal
134,Filotas,GR,71.6,40.63,21.7,
139,Angoche,MZ,71.73,-16.23,39.91,Guest House HESADA
158,Sambava,MG,69.37,-14.27,50.17,Melrose
161,Quatre Cocos,MU,71.6,-20.21,57.76,Veranda Palmar Beach Hotel
172,Aleksandriya,RU,74.05,45.09,43.25,"Kurortnyy Kompleks ""Tri Truby"""
174,Vila Franca do Campo,PT,69.8,37.72,-25.43,Pestana Bahia Praia
176,Cap Malheureux,MU,71.01,-19.98,57.61,Pereybere Hotel & Spa
186,Ndélé,CF,71.53,8.41,20.65,
195,Kamakwie,SL,73.42,9.5,-12.23,
198,Derzhavīnsk,KZ,67.48,51.1,66.32,Ooo.khim Baza
203,Bambous Virieux,MU,71.6,-20.34,57.76,Casa Tia Villa
206,Bonneville,FR,66.2,46.08,6.41,Hotel Bellevue
211,Harper,LR,74.97,4.38,-7.72,Screensaver
218,Trojes,AL,73.4,41.76,19.96,Preng DODAJ
219,Asekeyevo,RU,70.32,53.57,52.8,
220,Mananara,MG,68.49,-16.17,49.77,androkaroka.les 3 arcs
222,Teguise,ES,73.4,29.06,-13.56,B&B La Casona de Nazaret
224,Kango,GA,73.8,0.19,10.1,Le Flamboyant du Como
226,Carnot,CF,70.07,4.94,15.87,
227,Omboué,GA,73.2,-1.57,9.26,Hotel Olako
230,Mbandaka,CD,71.44,0.05,18.26,Guest House Epervier
233,Morondava,MG,70.77,-20.28,44.28,La Case Bambou
242,Bara,NG,74.73,10.37,10.73,
245,Bengkulu,ID,74.1,-3.8,102.27,Grage Hotel Bengkulu
248,Duekoué,CI,71.04,6.75,-7.35,Résidence Doué
249,Carballo,ES,69.8,43.21,-8.69,Pazo do Souto
250,Adré,TD,73.04,13.47,22.2,
277,Yamoussoukro,CI,73.4,6.82,-5.28,Residence Heaven
279,Kurmanayevka,RU,70.25,52.51,52.07,
288,Oddur,SO,73.09,4.12,43.89,Banjanay Hotel
289,Los Llanos de Aridane,ES,71.6,28.66,-17.92,Valle Aridane
290,Safi,MA,72.14,32.3,-9.24,Hôtel Abda
297,Zwedru,LR,71.73,6.07,-8.13,Elijah Worjloh
299,Namangan,UZ,73.4,41.0,71.67,Orzu Hotel
300,Nirgua,VE,72.52,10.16,-68.57,Posada Turistica Iracuy
309,Marquette,US,68.0,46.53,-87.63,Al Quaal Lodge
311,Halifax,CA,73.99,44.65,-63.57,Hotel Halifax
